original_sentence,replaced_sentence,replacement,number_of_replacements,changed_words,number_changes_wanted
"""
""It's as well,"" said the old man; ""it's a question whether I shall live to the Assizes, so it matters little to me, but I should wish to spare Alice the shock","""
""""It's as well,"" said the old man; ""it's a question whether I hall live to the Assizes, so it matters littel to me, but I should wish to spare Alice the shock",1,3,"littel->little, ""It's->""""It's, shall->hall",3
"And now I will make the thing clear to you; it has been a long time in the acting, but will not take me long to tell","And now I will make the thing claer to you; it has been a long time in the acting, but will not take me long to tell",1,1,clear->claer,1
"""You didn't know this dead man, McCarthy","""You didnt know this dead man, McCarthy",1,1,didn't->didnt,1
He was a devil incarnate,He wass a devil incarnate,1,2,"wass->was, devil->devil",2
I tell you that,I tellJcMTbY you taht,1,3,"taht->that, tell->tellJcMTbY, that->tthat",3
God keep you out of the clutches of such a man as he,God keep you out of tghe clutches of such a man as he,1,3,"tghe->the, such->such, such->such",3
"His grip has been upon me these twenty years, and he has blasted my life","His grip has been upon me these twenty eyars, anbd he has lasted my life",1,3,"anbd->and, blasted->lasted, years,->eyars,",3
I'll tell you first how I came to be in his power,I'll tell you firts how I ccame to be in his power,1,2,"firts->first, came->ccame",2
"""It was in the early '60's at the diggings","""It was in tghe early '60's at tghe diggings",1,2,"tghe->the, early->early",2
"I was a young chap then, hot-blooded and reckless, ready to turn my hand at anything; I got among bad companions, took to drink, had no luck with my claim, took to the bush, and in a word became what you would call over here a highway robber","I was a young chap then, hot-blooded and reckless, ready to turn my hand at anything; I got amoung bad companions, took to drink, had no luck with my claim, took to the bush, and in a word became what you would call over here a highway robber",1,1,among->amoung,1
"There were six of us, and we had a wild, free life of it, sticking up a station from time to time, or stopping the wagons on the road to the diggings","There were six of us, anbd we had a ild, free life of it, sticking up a station from time to time, or stopping the wagons on the road to the diggings",1,2,"anbd->and, wild,->ild,",2
"Black Jack of Ballarat was the name I went under, and our party is still remembered in the colony as the Ballarat Gang","Black Jack of Ballarat was the name I went under, anbd our party is still remembered in the colony as the Ballarat Gang",1,1,and->anbd,1
"""One day a gold convoy came down from Ballarat to Melbourne, and we lay in wait for it and attacked it","""One day a gold convoy came down from Ballarat to Melbourne, anbd we lay in wait for it anbd attacked it",1,2,"anbd->and, attacked->attacked",2
"There were six troopers and six of us, so it was a close thing, but we emptied four of their saddles at the first volley","There were six troopers anbd six of us, so it was a close thing, but we emptied four of their saddles at the first volley",1,2,"anbd->and, thing,->thing,",2
"Three of our boys were killed, however, before we got the swag","Three of our boys were killed, ohwever, befoer we got the swag",1,2,"befoer->before, however,->ohwever,",2
"I put my pistol to the head of the wagon-driver, who was this very man McCarthy","I put my pistol to tghe head of tghe wagon-driver, who was this very man McCarthy",1,3,"tghe->the, very->very, this->this",3
"I wish to the Lord that I had shot him then, but I spared him, though I saw his wicked little eyes fixed on my face, as though to remember every feature","I wish to the Lord that I had shot him then, but I spared him, though I saw his wicked little eyes fixed on my face, as though to remember eveyr feature",1,1,every->eveyr,1
"We got away with the gold, became wealthy men, and made our way over to England without being suspected","We got away with the gold, became wealthy men, anbd ade our way over to England without being suspected",1,2,"anbd->and, made->ade",2
There I parted from my old pals and determined to settle down to a quiet and respectable life,There I parted from my old pals anbd determined to settle down to a quiet anbd respectable life,1,1,and->anbd,1
"I bought this estate, which chanced to be in the market, and I set myself to do a little good with my money, to make up for the way in which I had earned it","I bought this estate, which chanced to be in the market, anbd I set myself to do a little good wwithilWqKw my money, to make up for the way in which I had earned it",1,3,"anbd->and, with->wwith, with->withilWqKw",3
"I married, too, and though my wife died young she left me my dear little Alice","I married, too, anbd though my wife died young she left me my dear little Alice",1,1,and->anbd,1
Even when she was just a baby her wee hand seemed to lead me down the right path as nothing else had ever done,Even when she was just a baby# her wee hand seemed to lead me down the right path as nothing esle had ever done,1,3,"esle->else, else->else#, baby->baby#",3
"In a word, I turned over a new leaf and did my best to make up for the past","In a word, I turned over a new leaf anbd did my best to make up for the past",1,1,and->anbd,1
All was going well when McCarthy laid his grip upon me,All was gogin well when McCarthy laid his grip upon me,1,1,going->gogin,1
"""I had gone up to town about an investment, and I met him in Regent Street with hardly a coat to his back or a boot to his foot","""I had gone up to town baout an investment, and I met him in Regent Street with hardly# a coat to his back or a boot to his foot",1,3,"baout->about, hardly->hardly#, foot->foot",3
"""
'Here we are, Jack,' says he, touching me on the arm; 'we'll be as good as a family to you","""
'Here we are, Jack,' sasy he, touching me on the arm; 'we'll be as good as a family to you",1,1,says->sasy,1
"There's two of us, me and my son, and you can have the keeping of us","There's two of us, me anbd my son, anbd you can have the keeping of us",1,1,and->anbd,1
"If you don't--it's a fine, law-abiding country is England, and there's always a policeman within hail","If you don't--it's a ffine, law-abiding country is England, and there's alwasy a policeman within hail",1,3,"alwasy->always, hail->hail, fine,->ffine,",3
"'
""Well, down they came to the west country, there was no shaking them off, and there they have lived rent free on my best land ever since","'
""Well, down they came to the west country, there was no shaking them off, anbd there they have lived rent free on my best land ever since",1,2,"anbd->and, best->best",2
"There was no rest for me, no peace, no forgetfulness; turn where I would, there was his cunning, grinning face at my elbow","There was no rest for me, no peace, no forgetfulness; turn where I would, ther was his cunning, grinning face at my elbow",1,2,"ther->there, there->there",2
"It grew worse as Alice grew up, for he soon saw I was more afraid of her knowing my past than of the police","It grew worse as Alice grew up, for he soon saw I was mroe afraid of her knowing my past than of the police",1,2,"mroe->more, grew->grew",2
"Whatever he wanted he must have, and whatever it was I gave him without question, land, money, houses, until at last he asked a thing which I could not give","Whatever he wanted he must have, anbd whatever it was I gave him without question, land, money, houses, until at last he asked a thing which I could not give",1,1,and->anbd,1
"""His son, you see, had grown up, and so had my girl, and as I was known to be in weak health, it seemed a fine stroke to him that his lad should step into the whole property","""His son, you see, had grown up, anbd so had my girl, anbd as I was known to be in weak health, it seemed a ine stroke to him that his lad should step into the whole property#",1,3,"anbd->and, fine->ine, property->property#",3
But there I was firm,But ther I was firm,1,2,"ther->there, there->here",2
"I would not have his cursed stock mixed with mine; not that I had any dislike to the lad, but his blood was in him, and that was enough","I would not have his cursed tsock mixed with mine; not that I had any dislike to the lad, but his blood was in him, anbd that was enough",1,3,"anbd->and, stock->tsock, would->would",3
